Author,into,ye,out,from,among,our,whom,will,whereby,hath,my,much,he,not,the,which,is,there,an,them,of,that,they,by,their,did,and,now,therefore,let,for,him,me,to,wherefore,if,shall,thee,unto,then,say,her,in,be,his,what,do,are,as,god,one,may,yea,with,those,all,have,your,being,lord,more,upon,thy,it,we,should,thus,were,could,would,but,was,many,been,these,also,wherewith,no,man,who,thou,according,said,must,because,like,had,every,make,himself,when,without,hast,again,throughout,moreover,or,forth,seest,other,neither,whose,how,yet,thereby,whoso,whereon,lest,once,wherein,ought,ever,upward,whither,notwithstanding,thyself,whereof,each,whence,whatsoever,wheresoever,thine,inasmuch,therein,anything,thence,thereon,abundance,henceforth,therewith,till,becometh,shouldst,than,such,outward,cometh,seemeth,wherewithal,oft,whosoever,soever,didst,some,hence,became,where,doeth,shalt,upwards,thereof,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,s_percentage_use,u_percentage_use,l_percentage_use,y_percentage_use,i_percentage_use,n_percentage_use,g_percentage_use,a_percentage_use,d_percentage_use,o_percentage_use,c_percentage_use,p_percentage_use,v_percentage_use,f_percentage_use,m_percentage_use,k_percentage_use,w_percentage_use,b_percentage_use,j_percentage_use,â_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,1.0,5.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,3.0,1.0,3.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1355263157894737,0.08289473684210526,0.08421052631578947,0.07105263157894737,0.04736842105263158,0.019736842105263157,0.035526315789473684,0.02368421052631579,0.06842105263157895,0.060526315789473685,0.018421052631578946,0.06447368421052632,0.03289473684210526,0.07894736842105263,0.02368421052631579,0.009210526315789473,0.006578947368421052,0.02894736842105263,0.031578947368421054,0.006578947368421052,0.018421052631578946,0.014473684210526316,0.002631578947368421,0.0,0.0,0.0,0.0,192,3.9583333333333335,27.428571428571427,96.96578947368423
mormon,6.0,31.0,9.0,9.0,3.0,4.0,3.0,5.0,0.0,2.0,14.0,3.0,19.0,10.0,88.0,9.0,8.0,2.0,6.0,10.0,86.0,40.0,26.0,16.0,12.0,9.0,86.0,10.0,6.0,0.0,8.0,9.0,6.0,41.0,0.0,2.0,7.0,4.0,27.0,2.0,17.0,0.0,39.0,24.0,22.0,5.0,8.0,11.0,6.0,23.0,2.0,10.0,19.0,10.0,3.0,9.0,30.0,13.0,3.0,13.0,2.0,8.0,3.0,8.0,6.0,4.0,1.0,20.0,1.0,3.0,5.0,9.0,3.0,18.0,2.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12452830188679245,0.08264150943396227,0.07132075471698113,0.050314465408805034,0.050440251572327045,0.03031446540880503,0.03471698113207547,0.03169811320754717,0.05911949685534591,0.06515723270440252,0.017232704402515724,0.08339622641509434,0.04616352201257862,0.07874213836477988,0.018113207547169812,0.01220125786163522,0.01220125786163522,0.02188679245283019,0.030440251572327045,0.0057861635220125785,0.01761006289308176,0.021383647798742137,0.0010062893081761006,0.0006289308176100629,0.0003773584905660377,0.000880503144654088,0.0010062893081761006,1916,4.149269311064718,39.895833333333336,1050.9693081761002
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,1.0,0.0,5.0,6.0,1.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,3.0,2.0,86.0,20.0,10.0,2.0,1.0,2.0,56.0,17.0,11.0,3.0,1.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,8.0,0.0,11.0,0.0,0.0,2.0,2.0,0.0,6.0,9.0,0.0,0.0,8.0,0.0,3.0,5.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12964858410098942,0.10883657454793585,0.0992835209825998,0.048106448311156604,0.04571818491982259,0.02012964858410099,0.03514158990105766,0.015694302285909244,0.04503582395087001,0.06038894575230297,0.019447287615148412,0.06925963834868645,0.031047424087342203,0.08324803821221426,0.02354145342886387,0.013988399863527807,0.00989423404981235,0.03309450699419993,0.017059024223814397,0.005800068236096895,0.02047082906857728,0.017741385192766974,0.0020470829068577278,0.000682360968952576,0.0,0.000682360968952576,0.0,692,4.235549132947977,43.25,408.95598771750264
amaleki,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1652892561983471,0.05785123966942149,0.0743801652892562,0.05371900826446281,0.04132231404958678,0.004132231404958678,0.05371900826446281,0.008264462809917356,0.045454545454545456,0.04132231404958678,0.01652892561983471,0.09504132231404959,0.049586776859504134,0.08677685950413223,0.0371900826446281,0.0371900826446281,0.004132231404958678,0.02066115702479339,0.024793388429752067,0.0,0.028925619834710745,0.008264462809917356,0.012396694214876033,0.0,0.012396694214876033,0.004132231404958678,0.0,51,4.745098039215686,51.0,28.983471074380162
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14427860696517414,0.07462686567164178,0.06965174129353234,0.05970149253731343,0.06467661691542288,0.024875621890547265,0.024875621890547265,0.009950248756218905,0.05970149253731343,0.06467661691542288,0.009950248756218905,0.05970149253731343,0.06467661691542288,0.1044776119402985,0.004975124378109453,0.014925373134328358,0.0,0.029850746268656716,0.024875621890547265,0.0,0.03482587064676617,0.009950248756218905,0.0,0.0,0.0,0.0,0.0,57,3.526315789473684,19.0,32.95522388059699
jacob,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13243243243243244,0.07837837837837838,0.08378378378378379,0.06486486486486487,0.07027027027027027,0.02702702702702703,0.02702702702702703,0.008108108108108109,0.04594594594594595,0.05945945945945946,0.01891891891891892,0.08108108108108109,0.03783783783783784,0.08378378378378379,0.024324324324324326,0.04054054054054054,0.010810810810810811,0.021621621621621623,0.016216216216216217,0.005405405405405406,0.01891891891891892,0.010810810810810811,0.005405405405405406,0.002702702702702703,0.0,0.0,0.0,84,4.404761904761905,42.0,53.97567567567568
jarom,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1553030303030303,0.09090909090909091,0.07954545454545454,0.041666666666666664,0.08712121212121213,0.01893939393939394,0.030303030303030304,0.007575757575757576,0.05303030303030303,0.07196969696969698,0.011363636363636364,0.06060606060606061,0.056818181818181816,0.06439393939393939,0.022727272727272728,0.015151515151515152,0.003787878787878788,0.05303030303030303,0.030303030303030304,0.003787878787878788,0.003787878787878788,0.015151515151515152,0.003787878787878788,0.0,0.0,0.007575757575757576,0.0,60,4.4,60.0,37.988636363636346
