Author,and,then,shall,my,which,have,to,be,by,in,the,of,all,when,ye,these,that,is,they,therefore,may,upon,unto,me,for,he,but,not,them,him,from,it,hath,no,your,if,will,their,make,ought,as,do,inasmuch,god,also,his,now,according,been,with,are,our,should,one,lord,forth,every,thereon,must,yea,say,many,were,could,who,what,yet,how,said,whatsoever,or,would,those,did,we,thus,out,lest,into,there,such,among,whom,ever,an,thy,let,thou,thee,being,man,was,had,other,because,without,himself,whose,wherein,hast,neither,wherefore,wheresoever,notwithstanding,throughout,where,therewith,soever,doeth,oft,wherewithal,became,wherewith,henceforth,shalt,outward,thence,cometh,verily,some,abundance,didst,whither,thereby,thine,whereby,whoso,seest,each,whereof,more,once,thereof,thyself,much,upward,whence,seemeth,becometh,shouldst,her,again,therein,upwards,whereon,till,like,hence,whosoever,than,anything,moreover,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,s_percentage_use,l_percentage_use,m_percentage_use,y_percentage_use,v_percentage_use,i_percentage_use,o_percentage_use,w_percentage_use,c_percentage_use,u_percentage_use,b_percentage_use,j_percentage_use,f_percentage_use,p_percentage_use,g_percentage_use,k_percentage_use,z_percentage_use,â_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,14.0,2.0,10.0,8.0,1.0,2.0,2.0,8.0,1.0,7.0,14.0,7.0,5.0,2.0,5.0,1.0,12.0,7.0,5.0,2.0,2.0,1.0,9.0,5.0,6.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15206611570247933,0.09421487603305785,0.08181818181818182,0.03801652892561983,0.07272727272727272,0.06611570247933884,0.03471074380165289,0.049586776859504134,0.05371900826446281,0.04132231404958678,0.021487603305785124,0.012396694214876033,0.05289256198347107,0.05537190082644628,0.01818181818181818,0.013223140495867768,0.02231404958677686,0.023140495867768594,0.0008264462809917355,0.03140495867768595,0.009917355371900827,0.010743801652892562,0.011570247933884297,0.001652892561983471,0.0008264462809917355,0.0,0.0,292,4.1438356164383565,41.714285714285715,165.97024793388437
mormon,108.0,1.0,20.0,16.0,25.0,13.0,41.0,29.0,11.0,28.0,90.0,64.0,19.0,3.0,30.0,22.0,41.0,16.0,34.0,10.0,8.0,7.0,36.0,3.0,30.0,19.0,6.0,18.0,27.0,2.0,9.0,18.0,2.0,1.0,1.0,11.0,10.0,39.0,2.0,2.0,12.0,7.0,2.0,26.0,9.0,17.0,20.0,5.0,7.0,10.0,17.0,11.0,9.0,3.0,20.0,5.0,2.0,1.0,3.0,19.0,5.0,8.0,9.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,10.0,10.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12156862745098039,0.08907563025210084,0.07182072829131653,0.060168067226890755,0.07641456582633054,0.06330532212885154,0.04582633053221288,0.06162464985994398,0.04257703081232493,0.029019607843137254,0.0230812324929972,0.007170868347338936,0.05198879551820728,0.0811204481792717,0.022184873949579832,0.020168067226890758,0.024985994397759104,0.013333333333333334,0.000784313725490196,0.023529411764705882,0.01837535014005602,0.014565826330532213,0.008739495798319327,0.0,0.0003361344537815126,0.0003361344537815126,0.00022408963585434174,2073,4.305354558610709,43.208333333333336,1192.9723249299723
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,31.0,0.0,14.0,3.0,1.0,2.0,12.0,6.0,2.0,4.0,52.0,25.0,0.0,3.0,1.0,0.0,3.0,6.0,6.0,0.0,0.0,3.0,4.0,1.0,11.0,5.0,0.0,4.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1305699481865285,0.09326424870466321,0.09119170984455958,0.054922279792746116,0.07461139896373056,0.06476683937823834,0.04093264248704663,0.05544041450777202,0.04455958549222798,0.020207253886010364,0.01917098445595855,0.0062176165803108805,0.043005181347150256,0.07823834196891191,0.013471502590673576,0.015544041450777202,0.019689119170984457,0.011917098445595855,0.004145077720207254,0.027979274611398965,0.015025906735751295,0.012435233160621761,0.0051813471502590676,0.0,0.0010362694300518134,0.0005181347150259067,0.0,491,3.930753564154786,30.75,275.9440414507772
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0.08095238095238096,0.0761904761904762,0.06666666666666667,0.0761904761904762,0.05714285714285714,0.04285714285714286,0.047619047619047616,0.014285714285714285,0.02857142857142857,0.009523809523809525,0.009523809523809525,0.05238095238095238,0.08095238095238096,0.009523809523809525,0.03333333333333333,0.009523809523809525,0.0380952380952381,0.023809523809523808,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,48,4.375,24.0,21.961904761904773
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
